M_ac_e,M_acald_e,M_akg_e,M_co2_e,M_etoh_e,M_for_e,M_fru_e,M_fum_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_h2o_e,M_h_e,M_lac__D_e,M_mal__L_c,M_mal__L_e,M_nh4_e,M_o2_e,M_pep_c,M_pi_e,M_pyr_e,M_succ_e,objective
0.000000000000000000e+00,0.000000000000000000e+00,8.573050000000000281e+00,-6.771342500000000086e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.209109999999999729e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.251172499999999843e+01,2.244194249999999897e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839350000000000041e+00,4.163037500000000080e+01,7.780647500000000605e+01,5.000000000000000000e-01
2.384949999999999903e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.642199999999999882e+00,8.440500000000000114e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.005353541666666572e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.703833749999999725e+01,2.618288749999999965e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.825974999999999682e+00,2.466037999999999997e+01,3.815158333333333474e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.166676250000000081e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.208607833333333303e+01,5.639383666666666528e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,-7.164000000000000368e-01,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,4.106126666666666480e+00,5.000000000000000000e-01
4.750666666666666926e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.644482500000000158e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.927762500000000045e+01,0.000000000000000000e+00,2.114305833333333240e+01,4.957051666666666989e+01,8.926600833333333185e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.659585833333333227e+01,-2.263784166666666664e+01,0.000000000000000000e+00,-3.678700000000000081e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.573050000000000281e+00,-6.188100000000000378e+00,2.310699999999999932e+01,3.409340000000000259e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.817957499999999982e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.507104999999999961e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839350000000000041e+00,3.212050000000000072e+00,5.294749999999999623e+00,5.000000000000000000e-01
5.445164634146341776e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.908708536585365323e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.132510853658536654e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.011066585365853676e+01,3.832080487804878288e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,-7.610537195121951370e+00,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,6.468465853658536879e+00,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.322400000000000020e+00,0.000000000000000000e+00,2.928839999999999932e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.839730000000000132e+01,0.000000000000000000e+00,6.243500000000000050e+00,2.709380000000000166e+01,6.183539999999999992e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.169630000000000081e+01,-2.393224999999999980e+01,0.000000000000000000e+00,-3.678700000000000081e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.960728571428571598e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.219252857142857138e+01,1.685125000000000028e+01,3.079837857142857160e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.221477857142857459e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.043699999999999850e+00,1.006796642857142814e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,2.844527857142857030e+01,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.786349999999999660e+00,0.000000000000000000e+00,1.647452916666666667e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.204451249999999973e+01,0.000000000000000000e+00,1.164782916666666601e+01,4.010359166666666653e+01,6.256737083333333516e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.710062916666666766e+01,-2.106002083333333275e+01,0.000000000000000000e+00,-3.678700000000000081e+00,2.737183333333333302e+00,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.835272702702702929e+00,0.000000000000000000e+00,2.103540540540540515e-01,9.475284324324324103e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.089168432432432354e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.710239135135135058e+01,3.317582972972972755e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,-1.078451081081081142e+01,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
2.737183333333333302e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.786349999999999660e+00,0.000000000000000000e+00,1.852741666666666731e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.136021666666666619e+01,0.000000000000000000e+00,1.096353333333333246e+01,3.599781666666666524e+01,6.325166666666666515e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.641633333333333411e+01,-2.037572499999999920e+01,0.000000000000000000e+00,-3.678700000000000081e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.748103382352941182e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.703963970588235100e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.227933382352941294e+01,1.069224857843137215e+02,2.465615049019607952e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,3.611816764705882576e+01,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.665265791666666573e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.087560208333333378e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.145095791666666685e+01,7.177771500000000060e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839350000000000041e+00,7.175116666666666809e+00,2.728629916666666588e+01,5.000000000000000000e-01
0.000000000000000000e+00,4.605217777777777854e+01,0.000000000000000000e+00,-7.168666666666666520e-01,0.000000000000000000e+00,4.881849444444444686e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.691395555555555674e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.925333333333333119e+00,5.884849444444444799e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,-8.824166666666666270e-02,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,6.776769298245613804e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.190119298245614132e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.084405263157894694e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.719573859649122838e+01,3.301119122807017447e+01,2.375333333333333463e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,-1.079377894736842158e+01,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,7.820149999999999935e+00,-1.404499999999999915e-01,2.594259999999999877e+01,3.692900000000000205e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.534397500000000036e+01,0.000000000000000000e+00,0.000000000000000000e+00,-6.047649999999999970e+00,6.410509999999999309e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,7.529000000000000137e-01,5.000000000000000000e-01
0.000000000000000000e+00,4.323624999999999829e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.564959999999999951e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.556664166666666560e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.642199999999999882e+00,5.567960000000000065e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.726399999999999935e+00,-6.286249999999999893e-01,0.000000000000000000e+00,-1.839350000000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
