M_co2_e,M_glc__D_e,M_h2o_e,M_nh4_e,M_o2_e,M_pi_e,objective,virtual_tag_R_PDH
0.000000000000000000e+00,-1.502580799999999954e+03,0.000000000000000000e+00,-7.197695999999999685e+02,-3.245553600000000188e+03,-4.855883999999999787e+02,1.320000000000000000e+02,2.635043599999999969e+03
0.000000000000000000e+00,-1.870609583333333248e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-1.206631250000000044e+01,-3.678700000000000081e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.786699999999999955e+00,-2.242847499999999883e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-8.802075000000000315e+00,-3.678700000000000081e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.842063072093295517e+01,-1.029405658985331051e+01,-3.051883360385067245e+00,0.000000000000000000e+00,-2.058935467621872739e+00,5.596910505401018199e-01,1.000000000000000000e+00
0.000000000000000000e+00,-3.296628333333333671e+01,-1.904210000000000136e+01,-5.452799999999999869e+00,0.000000000000000000e+00,-3.678700000000000081e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.094911944444444529e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-2.198311666666666753e+01,-3.678700000000000081e+00,1.000000000000000000e+00,1.172964666666666744e+01
0.000000000000000000e+00,-1.143734722222222189e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-2.100666111111111078e+01,-3.678700000000000081e+00,1.000000000000000000e+00,1.251081111111111177e+01
0.000000000000000000e+00,-2.265181249999999835e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-8.727629166666666549e+00,-3.678700000000000081e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-4.010707083333333145e+01,0.000000000000000000e+00,-5.452799999999999869e+00,0.000000000000000000e+00,-3.678700000000000081e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.786699999999999955e+00,-4.003262500000000301e+01,0.000000000000000000e+00,-5.452799999999999869e+00,0.000000000000000000e+00,-3.678700000000000081e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-3.980928750000000349e+01,0.000000000000000000e+00,-5.452799999999999869e+00,0.000000000000000000e+00,-3.678700000000000081e+00,1.000000000000000000e+00,1.786699999999999955e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.183787457627118656e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-2.281311016949152659e+01,-3.678700000000000081e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.587845000000000084e+01,0.000000000000000000e+00,-5.452799999999999869e+00,-1.489395833333333385e+01,-3.678700000000000081e+00,1.000000000000000000e+00,0.000000000000000000e+00
