M_pime_e,M_arg__L_e,M_pi_e,M_h_e,M_ala__L_e,M_val__L_e,M_fe2_e,M_fe3_e,M_ala__D_e,M_glc__D_e,M_h2o_e,M_his__L_e,M_ile__L_e,M_leu__L_e,M_met__L_e,M_o2_e,M_so4_e,M_thm_e,objective
-1.000000000000000000e+00,-8.883333333333332848e+04,-1.544371666666666570e+05,-5.595374258888690732e+06,0.000000000000000000e+00,-6.700983333333332848e+04,-1.000000000000000000e+00,0.000000000000000000e+00,-6.744417707819664851e+06,-6.961208333333333721e+05,0.000000000000000000e+00,-1.500000000000000000e+04,-4.600000000000000000e+04,-7.133333333333332848e+04,-4.940800000000000000e+04,-2.990239687243165914e+06,0.000000000000000000e+00,-1.000000000000000000e+00,1.666666666666666570e+05
-3.000000000000000000e+00,-6.293156954875986092e+06,-4.633115000000000000e+05,-1.649524782887365669e+07,0.000000000000000000e+00,-2.010295000000000000e+05,-3.000000000000000000e+00,0.000000000000000000e+00,-7.956922800127419643e+06,-5.131366666666666861e+05,0.000000000000000000e+00,-4.500000000000000000e+04,-1.380000000000000000e+05,-2.140000000000000000e+05,-1.482240000000000000e+05,-1.116466805513082445e+07,-1.148950000000000000e+04,-3.000000000000000000e+00,5.000000000000000000e+05
-1.000000000000000000e+00,-1.590785382672471227e+06,-1.544371666666666570e+05,0.000000000000000000e+00,0.000000000000000000e+00,-6.700983333333332848e+04,-1.000000000000000000e+00,0.000000000000000000e+00,-9.513333333333332848e+04,-1.710455555555555620e+05,0.000000000000000000e+00,-1.500000000000000000e+04,-4.600000000000000000e+04,-7.133333333333332848e+04,-4.940800000000000000e+04,-4.014468390511628706e+06,0.000000000000000000e+00,-1.000000000000000000e+00,1.666666666666666570e+05
-3.000000000000000000e+00,-7.321285000000000000e+05,-4.633115000000000000e+05,-1.148808476666666716e+08,0.000000000000000000e+00,-2.010295000000000000e+05,-3.000000000000000000e+00,0.000000000000000000e+00,-1.168529971604166627e+08,-2.099852000000000000e+06,-1.085953709072916657e+08,-4.500000000000000000e+04,-1.380000000000000000e+05,-2.140000000000000000e+05,-1.482240000000000000e+05,-1.470897376562499907e+06,-1.148950000000000000e+04,-3.000000000000000000e+00,5.000000000000000000e+05
-1.000000000000000000e+00,-8.883333333333332848e+04,-1.544371666666666570e+05,0.000000000000000000e+00,0.000000000000000000e+00,-6.700983333333332848e+04,-1.000000000000000000e+00,0.000000000000000000e+00,-5.162083073456790298e+06,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+04,-4.600000000000000000e+04,-7.133333333333332848e+04,-4.940800000000000000e+04,-3.099700263734567910e+06,0.000000000000000000e+00,-1.000000000000000000e+00,1.666666666666666570e+05
-3.000000000000000000e+00,-4.747087969920553267e+06,-4.633115000000000000e+05,0.000000000000000000e+00,-2.854000000000000000e+05,-2.010295000000000000e+05,-3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.131366666666666861e+05,0.000000000000000000e+00,-4.500000000000000000e+04,-1.380000000000000000e+05,-2.140000000000000000e+05,-1.482240000000000000e+05,-1.278722599393343180e+07,-1.148950000000000000e+04,-3.000000000000000000e+00,5.000000000000000000e+05
-1.000000000000000000e+00,-6.075050000000000000e+05,-1.544371666666666570e+05,-3.783929444444444380e+05,-2.587096966666666791e+07,-6.700983333333332848e+04,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.710455555555555620e+05,-2.387999933333333209e+07,-1.500000000000000000e+04,-4.600000000000000000e+04,-7.133333333333332848e+04,-4.940800000000000000e+04,-5.335833333333333030e+03,0.000000000000000000e+00,-1.000000000000000000e+00,1.666666666666666570e+05
-1.000000000000000000e+00,-3.914620556600877084e+06,-1.544371666666666570e+05,0.000000000000000000e+00,0.000000000000000000e+00,-6.700983333333332848e+04,-1.000000000000000000e+00,0.000000000000000000e+00,-9.513333333333332848e+04,-4.837612192982456181e+05,0.000000000000000000e+00,-1.500000000000000000e+04,-4.600000000000000000e+04,-7.133333333333332848e+04,-4.940800000000000000e+04,-3.602163070071272086e+06,0.000000000000000000e+00,-1.000000000000000000e+00,1.666666666666666570e+05
-3.000000000000000000e+00,-2.665000000000000000e+05,-4.633115000000000000e+05,-2.420112797251535207e+07,-2.770252723463303968e+07,-2.010295000000000000e+05,-3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.131366666666666861e+05,0.000000000000000000e+00,-4.500000000000000000e+04,-1.380000000000000000e+05,-2.140000000000000000e+05,-1.482240000000000000e+05,-1.026209086731651984e+07,-1.148950000000000000e+04,-3.000000000000000000e+00,5.000000000000000000e+05
-1.000000000000000000e+00,-1.820352561260235263e+06,-1.544371666666666570e+05,-4.486034628398676403e+06,-6.560028831570956390e+05,-6.700983333333332848e+04,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.500000000000000000e+04,-4.600000000000000000e+04,-7.133333333333332848e+04,-4.940800000000000000e+04,-4.427741956013773568e+06,0.000000000000000000e+00,-1.000000000000000000e+00,1.666666666666666570e+05
