M_pime_e,M_arg__L_e,M_pi_e,M_ala__L_e,M_val__L_e,M_his__L_e,M_ile__L_e,M_leu__L_e,M_met__L_e,M_o2_e,M_thm_e,objective
-1.772714368634678147e-07,-2.960933941890611654e-01,-2.737729844012285613e-02,-7.847232302939446402e-01,-1.187892943898150033e-02,-2.659071552952017338e-03,-8.154486095719518102e-03,-1.264536249626070467e-02,-8.758627152550215247e-03,-5.426457611527464309e-01,-1.772714368634678147e-07,2.954523947724464056e-02
-1.765368526998878993e-07,-2.995836710781406564e-01,-2.726385134322136666e-02,-7.835390688014625127e-01,-1.182970507661070154e-02,-2.648052790498317977e-03,-8.120695224194840467e-03,-1.259296215925866796e-02,-8.722332818196058823e-03,-5.424569760228116211e-01,-1.765368526998878993e-07,2.942280878331464400e-02
-1.862631057743236544e-07,-2.822519294955664892e-01,-2.876594631032017985e-02,-7.747345384154832315e-01,-1.248145967408646577e-02,-2.793946586614855926e-03,-8.568102865618890118e-03,-1.328676821190175571e-02,-9.202887530097783250e-03,-5.637648501140847257e-01,-1.862631057743236544e-07,3.104385096238727187e-02
-5.466701943682450458e-08,-9.077724746990759042e-02,-8.442619591934770462e-03,-9.669055800707823112e-01,-3.663227861291704426e-03,-8.200052915523677044e-04,-2.514682894093927656e-03,-3.899580719826814187e-03,-2.700988096334625260e-03,-2.380249608413905482e-01,-5.466701943682450458e-08,9.111169906137417396e-03
-4.820673976866796930e-08,-4.282365382783338663e-03,-7.444912304110403237e-03,-9.789676630566915838e-01,-3.230325597441813072e-03,-7.231010965300194116e-04,-2.217510029358726615e-03,-3.438747436831648355e-03,-2.381798598490347200e-03,-2.035942623101865412e-01,-4.820673976866796930e-08,8.034456628111327423e-03
-4.725913281019688951e-08,-4.198186297972490884e-03,-7.298566570330511372e-03,-9.792560343787610755e-01,-3.166826613089159057e-03,-7.088869921529531532e-04,-2.173920109269056669e-03,-3.371151473794044111e-03,-2.334979233886207758e-03,-2.022192168394797984e-01,-4.725913281019688951e-08,7.876522135032815175e-03
-5.429618171689404430e-08,-1.002635840450919330e-01,-8.385348465175586352e-03,-9.654308535933759927e-01,-3.638378087485450146e-03,-8.144427257534107845e-04,-2.497624358977126174e-03,-3.873127629138441944e-03,-2.682665746268301371e-03,-2.401997888028931938e-01,-5.429618171689404430e-08,9.049363619482339929e-03
-5.153205006104086408e-08,-3.786392368658343943e-01,-7.958463803951975127e-03,-8.674962984916295694e-01,-3.453154085915337724e-03,-7.729807509156128281e-04,-2.370474302807879918e-03,-3.675952904354246997e-03,-2.546095529415906035e-03,-3.223464933443873082e-01,-5.153205006104086408e-08,8.588675010173478855e-03
-5.138426489017377474e-08,-3.797839529064923614e-01,-7.935640280887914372e-03,-8.669482320666112019e-01,-3.443251026246395285e-03,-7.707639733526066780e-04,-2.363676184947993437e-03,-3.665410895499062079e-03,-2.538793759693706072e-03,-3.224758550059548257e-01,-5.138426489017377474e-08,8.564044148362294495e-03
-7.781350494216426167e-08,-5.204627502023589924e-01,-1.201729723167051581e-02,-7.354053282791215285e-01,-5.214269997256938162e-03,-1.167202574132464006e-03,-3.579421227339555766e-03,-5.550696685874385861e-03,-3.844609652182451407e-03,-4.334719899255126130e-01,-7.781350494216426167e-08,1.296891749036071032e-02
