M_pime_e,M_arg__L_e,M_pi_e,M_ala__L_e,M_val__L_e,M_his__L_e,M_ile__L_e,M_leu__L_e,M_met__L_e,M_o2_e,M_thm_e,objective
-6.277409617034471128e+114,-5.576432209798955404e+119,-9.694653552608888971e+119,-3.973293241043817181e+121,-4.206481722025437792e+119,-9.416114425551706829e+118,-2.887608423835856976e+119,-4.477885526817923209e+119,-3.101542543584391820e+119,-1.784201311167851028e+121,-6.277409617034471128e+114,1.046234936172411894e+120
-7.634064924581553382e+118,-1.862977761526105279e+124,-1.178983357101755435e+124,-4.233068317462819435e+125,-5.115574182520557636e+123,-1.145109738687232935e+123,-3.511669865307514235e+123,-5.445632979534840838e+123,-3.771838797937253865e+123,-2.163223576532338588e+125,-7.634064924581553382e+118,1.272344154096925555e+124
-1.828040947046513415e+114,-5.081520010742048653e+119,-2.823174644125135821e+119,-1.087908298573735553e+121,-1.224967191880957024e+119,-2.742061420569770458e+118,-8.408988356413961723e+118,-1.304002542226512897e+119,-9.031984711167414518e+118,-5.195762668948991293e+120,-1.828040947046513415e+114,3.046734911744189139e+119
-1.262086786128660202e+118,-3.508097202247431597e+123,-1.949131073371495955e+123,-6.912603871520904082e+124,-8.457222519068383533e+122,-1.893130179192990492e+122,-5.805599216191837265e+122,-9.002885741051109526e+122,-6.235718392904484723e+122,-3.576306880220952137e+124,-1.262086786128660202e+118,2.103477976881100384e+123
-3.954566992503200536e+64,-6.605244387228205251e+70,-6.107321217157154910e+69,-1.750558713618932961e+71,-2.649948750731406856e+69,-5.931850488754800512e+68,-1.819100816551472068e+69,-2.820924454652282855e+69,-1.953872459655981050e+69,-1.210532871874442826e+71,-3.954566992503200536e+64,6.590944987505333945e+69
-3.203395808538199391e+53,-5.436174156053772591e+59,-4.947233723825152816e+58,-1.421791388278285900e+60,-2.146590192308433127e+58,-4.805093712807298636e+57,-1.473562071927571768e+58,-2.285089010090582173e+58,-1.582733801082553347e+58,-9.843295474729423592e+59,-3.203395808538199391e+53,5.338993014230332127e+58
-2.730669186106757070e+67,-4.137892168116989931e+73,-4.217168122063002697e+72,-1.135782485033291606e+74,-1.829816870494827786e+72,-4.096003779160135451e+71,-1.256107825609108310e+72,-1.947877352756153508e+72,-1.349169031471626507e+72,-8.264950259563639526e+73,-2.730669186106757070e+67,4.551115310177928061e+72
-2.345242041095751048e+54,-3.894388597267683941e+60,-3.621925359743780333e+59,-4.148072529859868619e+61,-1.571542783001527701e+59,-3.517863061643626625e+58,-1.078811338904045506e+59,-1.672939322648302487e+59,-1.158737187664588781e+59,-1.021138797663019694e+61,-2.345242041095751048e+54,3.908736735159585412e+59
-3.382661835415450724e+54,-3.004931263794058707e+59,-5.224087096530285343e+59,-6.869405746621444771e+61,-2.266716058142167798e+59,-5.073992753123176440e+58,-1.556024444291107367e+59,-2.412965442596354696e+59,-1.671305559642065918e+59,-1.428618787188437131e+61,-3.382661835415450724e+54,5.637769725692417623e+59
-2.271085689762555214e+56,-2.017481121072403096e+61,-3.507400391841413506e+61,-4.705914463608981305e+63,-1.521850735567071957e+61,-3.406628534643832235e+60,-1.044699417290775247e+61,-1.620041125363956002e+61,-1.122098017597883136e+61,-9.717850122295133885e+62,-2.271085689762555214e+56,3.785142816270925276e+61
-7.756862418267458695e+70,-1.432385855519903780e+77,-1.197947854100374586e+76,-1.379234058247644085e+78,-5.197860578376994151e+75,-1.163529362740118794e+75,-3.568156712403031264e+75,-5.533228525030787281e+75,-3.832510583617586271e+75,-3.431542800478760543e+77,-7.756862418267458695e+70,1.292810403044576527e+76
-1.691962177609015182e+101,-1.243193831754950240e+108,-2.613018448170997091e+106,-2.848268067202936143e+108,-1.133781035278838245e+106,-2.537943266413522420e+105,-7.783026017001469230e+105,-1.206933020027764127e+106,-8.359646727130621294e+105,-1.058366733280673857e+108,-1.691962177609015182e+101,2.819936962681691759e+106
-2.422888164749669730e+90,-1.790770086184402230e+97,-3.741839833141388258e+95,-4.087863503378688222e+97,-1.623573321051812304e+95,-3.634332247124504074e+94,-1.114528555784848084e+95,-1.728326890854764186e+95,-1.197100584439516795e+95,-1.520549012779340690e+97,-2.422888164749669730e+90,4.038146941249449498e+95
-2.121374733892756844e+55,-1.418900908052211983e+62,-3.276191033406513621e+60,-2.004883707193213070e+62,-1.421529673556979932e+60,-3.182062100839135569e+59,-9.758323775906681044e+59,-1.513247310176833207e+60,-1.048128828521733371e+60,-1.181744130355866210e+62,-2.121374733892756844e+55,3.535624556487928033e+60
